model,seed,layers,activation,optimizer,learning_rate,test_accuracy,test_loss,precision,recall
mlp_word_tokens,4060422127,2,Tanh,Adam,0.0001,0.865,0.3181,0.8661,0.8634
mlp_word_tokens,59683826,2,Tanh,Adam,0.001,0.8717,0.3897,0.8743,0.8682
mlp_word_tokens,2456109879,3,ReLU,SGD,0.0001,0.5838,0.6082,0.5857,0.573
mlp_word_tokens,1683382307,2,Tanh,SGD,0.0001,0.5289,0.691,0.5297,0.5156
mlp_word_tokens,701459397,2,Tanh,SGD,0.0005,0.6569,0.6368,0.6583,0.6525
mlp_word_tokens,3363749907,1,ReLU,RMSProp,0.0005,0.876,0.3137,0.8738,0.879
mlp_word_tokens,3369148169,3,Tanh,RMSProp,0.0005,0.8702,0.3133,0.8735,0.8658
mlp_word_tokens,3725221449,2,ReLU,SGD,0.0005,0.6969,0.5035,0.6891,0.7175
mlp_word_tokens,2890875404,3,ReLU,RMSProp,0.0001,0.8409,0.4469,0.8433,0.8374
mlp_word_tokens,2495789943,2,LeakyReLU,Adam,0.0001,0.8596,0.4264,0.8575,0.8626
mlp_word_tokens,1421680916,2,ReLU,Adam,0.0005,0.8704,0.3153,0.8732,0.8667
mlp_word_tokens,812776280,3,ReLU,RMSProp,0.0001,0.8472,0.3746,0.818,0.893
mlp_word_tokens,114289952,2,Tanh,RMSProp,0.001,0.8727,0.3301,0.8744,0.8703
mlp_word_tokens,2756965770,3,ReLU,SGD,0.001,0.7112,0.5277,0.7187,0.694
mlp_word_tokens,2950132925,2,ReLU,SGD,0.001,0.6468,0.6138,0.6421,0.6636
mlp_word_tokens,3023014925,1,ReLU,SGD,0.0001,0.5856,0.5452,0.5859,0.5841
mlp_word_tokens,938114213,3,LeakyReLU,RMSProp,0.0001,0.8502,0.4419,0.821,0.8958
mlp_word_tokens,122914647,3,ReLU,SGD,0.001,0.6821,0.5918,0.6668,0.7279
